Year/Fraction of Year,Number of observations,GMSL variation (GIA not applied) (mm),Std. Deviation variation estimate (GIA not applied) (mm),Smoothed GMSL variation (GIA not applied) (mm),GMSL  variation (GIA applied) (mm),Std. deviation variation estimate (GIA applied) (mm),Smoothed GMSL variation (GIA applied) (mm)
2005.5,476251,-3.54,82.53,-3.67,-0.1,82.48,-0.24
2005.5,473700,-4.34,83.68,-3.18,-0.91,83.62,0.26
2005.5,467736,-0.76,82.53,-2.62,2.67,82.9,0.82
2005.6,468959,-2.99,83.14,-2.01,0.46,83.35,1.43
2005.6,453997,-1.87,83.07,-1.29,1.57,83.38,2.15
2005.6,463312,-0.78,82.6,-0.36,2.66,83.05,3.09
2005.6,457717,-0.15,83.14,0.82,3.28,83.67,4.28
2005.7,460882,1.51,84.01,2.18,4.96,84.53,5.65
2005.7,461748,4.44,86.09,3.51,7.92,86.73,6.98
2005.7,267180,6.87,92.95,4.55,10.37,93.63,8.03
2005.7,288616,6.33,84.87,5.17,9.87,85.8,8.66
2005.8,459566,5.62,84.06,5.49,9.09,84.72,8.98
2005.8,463732,3.71,84.18,5.74,7.2,84.68,9.23
2005.8,462887,5.08,86.64,6.09,8.56,87.21,9.58
2005.9,466555,8.01,87.9,6.43,11.48,88.57,9.94
2005.9,465250,8.3,86.87,6.53,11.83,87.35,10.05
2005.9,472885,7.51,84.44,6.17,11.08,84.9,9.72
2005.9,478930,5.41,83.59,5.33,8.97,84,8.89
2006.0,480010,4.63,84.65,4.1,8.2,84.76,7.66
2006.0,476881,4.02,84.95,2.64,7.61,84.95,6.22
2006.0,481582,-0.22,82.73,1.18,3.36,82.55,4.76
2006.0,483074,-1.89,83.27,-0.06,1.68,83.1,3.53
2006.1,482020,-1.37,84.98,-0.94,2.22,84.71,2.65
2006.1,479350,-1.55,85.9,-1.47,2.07,85.62,2.14
2006.1,476331,-2.85,85.76,-1.75,0.75,85.25,1.86
2006.2,477682,-1.52,87.76,-1.98,2.09,87.23,1.66
2006.2,477787,0.36,87.94,-2.25,4.02,87.41,1.4
2006.2,481001,-5.19,89.35,-2.59,-1.51,88.74,1.07
2006.2,481869,-2.7,89.19,-2.96,0.97,88.56,0.71
2006.3,478745,-2.49,86.41,-3.32,1.19,85.87,0.36
2006.3,474526,-3.51,87,-3.62,0.18,86.36,0.07
2006.3,474075,-4.98,86.64,-3.77,-1.27,86.09,-0.08
2006.3,475375,-5.34,84.69,-3.73,-1.65,84.27,-0.03
2006.4,476287,-3.02,83.91,-3.5,0.65,83.63,0.2
2006.4,474218,-1.47,83.9,-3.16,2.26,83.81,0.54
2006.4,472424,-3.99,83.79,-2.74,-0.31,83.57,0.95
2006.5,477483,-3.37,83.98,-2.19,0.33,83.83,1.51
2006.5,476229,-2.33,82.24,-1.45,1.38,82.32,2.25
2006.5,468973,0.2,81.95,-0.62,3.89,82.21,3.07
2006.5,474990,1.71,82.59,0.11,5.39,82.82,3.8
2006.6,466158,0.9,81.89,0.69,4.57,82.31,4.38
2006.6,467641,1.27,83.3,1.26,4.96,83.73,4.95
2006.6,466053,-0.92,86.05,2.09,2.76,86.41,5.78
2006.6,461079,1.77,86.17,3.33,5.47,86.75,7.03
2006.7,457922,5.4,89.09,4.83,9.13,89.9,8.54
2006.7,458823,8.17,88.49,6.24,11.88,89.37,9.95
2006.7,448801,10.45,89.18,7.25,14.16,90.14,10.97
2006.7,460704,6.71,89.11,7.85,10.46,90.08,11.57
2006.8,457410,6.72,90.04,8.17,10.44,91.02,11.89
2006.8,463368,9.74,89.15,8.31,13.49,90.12,12.03
2006.8,204019,9.68,90.2,8.17,13.29,91.15,11.9
2006.9,366782,8.47,89.49,6.68,12.3,90.04,10.45
2006.9,475061,3.5,87.61,5.7,7.28,88.01,9.49
2006.9,461326,6.56,87.89,4.78,10.31,88.34,8.59
2007.0,479795,3.55,86.47,3.89,7.41,86.75,7.71
2007.0,484008,3.16,83.7,2.98,7.01,83.95,6.81
2007.0,480513,2.01,82.69,2.13,5.87,82.73,5.98
2007.0,478495,0.77,83.7,1.28,4.61,83.54,5.13
2007.1,478535,-0.04,86.03,0.71,3.83,85.94,4.57
2007.1,482193,-0.93,86.89,0.43,2.92,86.55,4.31
2007.1,477375,-0.52,85.82,0.39,3.38,85.37,4.27
2007.2,481245,3.13,88.15,0.41,7.04,87.81,4.31
2007.2,478752,-0.1,90.13,0.38,3.77,89.78,4.29
2007.2,476954,0.02,89.94,0.3,3.93,89.54,4.22
2007.2,477098,-1.46,88.28,0.2,2.51,87.86,4.13
2007.3,476659,1.67,89.12,0.03,5.63,88.86,3.98
2007.3,475841,1.24,86.51,-0.31,5.21,86.11,3.65
2007.3,475043,0.25,84.98,-0.84,4.21,84.57,3.12
2007.3,475774,-4.66,85.19,-1.41,-0.69,84.74,2.55
2007.4,477550,-1.6,85.22,-1.84,2.35,85.03,2.12
2007.4,473090,-1.82,83.35,-2.05,2.13,83.26,1.92
2007.4,478194,-2.38,83.07,-2.08,1.58,82.89,1.89
2007.5,474958,-2.79,81.96,-1.99,1.18,81.78,1.98
2007.5,475229,-1.26,83.99,-1.84,2.73,84.06,2.13
2007.5,474161,-1.35,84.66,-1.62,2.61,84.79,2.36
2007.5,472106,-1.68,82.16,-1.24,2.3,82.45,2.75
2007.6,464446,-2.92,81.21,-0.6,1.08,81.44,3.39
2007.6,465478,-1.06,83.11,0.27,2.93,83.42,4.26
2007.6,463210,5.01,82.8,1.21,8.99,83.31,5.21
2007.6,461334,2.07,82.64,2.07,6.09,83.32,6.07
2007.7,462666,1.37,84.63,2.86,5.37,85.37,6.87
2007.7,460166,2.26,86.17,3.67,6.27,86.95,7.69
2007.7,462923,6.47,88.2,4.55,10.5,89.11,8.57
2007.8,464384,5.67,88.27,5.42,9.7,89.33,9.45
2007.8,458575,5.3,88.25,6.23,9.33,89.15,10.27
2007.8,465652,7.91,87.3,6.97,11.94,88.26,11.01
2007.8,469975,6.89,85.89,7.59,10.94,86.62,11.64
2007.9,473297,8.73,85.74,7.91,12.78,86.27,11.97
2007.9,474650,10.86,85.08,7.69,14.95,85.73,11.76
2007.9,473374,8.88,83.8,6.81,12.96,84.41,10.89
2007.9,479715,6.42,82.56,5.41,10.51,83,9.5
2008.0,478694,0.64,81.73,3.92,4.75,81.86,8.01
2008.0,480235,0.89,85.62,2.69,4.95,85.5,6.78
2008.0,480821,1.81,85.64,1.82,5.95,85.49,5.92
2008.1,479854,2.87,85.54,1.19,6.97,85.5,5.29
2008.1,478949,0.92,86.08,0.66,5,85.94,4.76
2008.1,473657,-2.72,89.45,0.24,1.38,89.07,4.35
2008.1,476326,1.06,90.89,0.01,5.18,90.45,4.12
2008.2,477074,-1.35,90.98,-0.05,2.77,90.36,4.07
2008.2,478417,0.88,91.37,-0.11,5,90.75,4.03
2008.2,477046,1.55,89.92,-0.34,5.69,89.37,3.82
2008.2,475431,-1.12,90.21,-0.79,3.07,89.56,3.39
2008.3,472772,-1.41,89.57,-1.33,2.8,88.91,2.87
2008.3,472393,-2.02,89.42,-1.69,2.21,88.97,2.53
2008.3,472245,-4.59,88.73,-1.57,-0.32,88.28,2.66
2008.4,209043,-3.6,87.57,-0.86,0.63,87.22,3.37
2008.4,475778,1.52,85.02,0.25,5.76,85.02,4.49
2008.4,479722,3.71,85.59,1.4,7.96,85.6,5.64
2008.4,477387,2.76,85.19,2.29,7,85.17,6.53
2008.5,474771,3.01,82.61,2.84,7.23,82.68,7.08
2008.5,474275,3.49,83.2,3.15,7.72,83.59,7.38
2008.5,475170,3.2,82.82,3.38,7.46,83.3,7.62
2008.5,455535,2.93,83.78,3.68,7.13,84.42,7.93
2008.6,466933,4,85.75,4.15,8.26,86.43,8.41
2008.6,456021,3.72,85.31,4.82,8.01,85.83,9.08
2008.6,464058,6.02,85.67,5.65,10.27,86.4,9.92
2008.6,451789,6.39,86.3,6.57,10.69,87.16,10.85
2008.7,455085,8.2,87.03,7.51,12.5,88.09,11.8
2008.7,461597,7.73,88.21,8.43,12,89.37,12.72
2008.7,461259,9.61,87.92,9.3,13.9,89.09,13.59
2008.8,462183,10.28,85.64,10.04,14.59,86.77,14.34
2008.8,465334,11.72,87.24,10.58,16.03,88.4,14.88
2008.8,464363,12.05,87.22,10.84,16.35,88.43,15.15
2008.8,465768,10.27,85.73,10.87,14.58,86.71,15.2
2008.9,469660,10.84,86.53,10.73,15.18,87.52,15.07
2008.9,473508,9.39,87.23,10.38,13.76,88.16,14.74
2008.9,469751,14.05,86.85,9.72,18.45,87.59,14.09
2008.9,476348,9.27,85.95,8.73,13.64,86.58,13.1
2009.0,478144,4.91,84.04,7.58,9.25,84.26,11.96
2009.0,484446,6.14,86.26,6.51,10.53,86.23,10.88
2009.0,368297,5.55,86.06,5.63,9.97,85.99,10.01
2009.1,475105,5.6,85.2,4.97,9.91,85.26,9.36
2009.1,478423,3.56,84.99,4.53,7.94,84.84,8.93
2009.1,481463,2.53,85.93,4.35,6.99,85.64,8.76
2009.1,481081,4.54,86.06,4.44,8.98,85.76,8.87
2009.2,477041,4.86,86.63,4.69,9.3,86.41,9.14
2009.2,476608,5.14,86.57,4.95,9.62,86.36,9.41
2009.2,476654,6.22,85.9,5.06,10.7,85.63,9.53
2009.2,475373,5.19,86.27,4.97,9.67,85.86,9.45
2009.3,478983,4.89,86.66,4.72,9.38,86.3,9.2
2009.3,480783,4.08,85.42,4.39,8.58,85.18,8.88
2009.3,463140,3.64,84.39,4.05,8.14,84.13,8.55
2009.4,473448,4.48,85.1,3.74,8.95,85.18,8.25
2009.4,478786,3.27,83.55,3.53,7.8,83.65,8.04
2009.4,458633,1.81,82.3,3.44,6.35,82.39,7.96
2009.4,471379,3.54,82.23,3.52,8.05,82.6,8.04
2009.5,477223,4.92,80.5,3.77,9.45,80.86,8.3
2009.5,468816,3.27,78.71,4.25,7.82,79.24,8.79
2009.5,472709,2.22,79.88,5.07,6.75,80.46,9.61
2009.5,466781,5.42,80.54,6.25,9.97,81.21,10.79
2009.6,466050,10.18,82.11,7.67,14.72,82.85,12.21
2009.6,465927,8.63,83.32,9.19,13.18,84.41,13.73
2009.6,458260,9.53,85.54,10.78,14.08,86.87,15.32
2009.7,461517,11.83,85.83,12.45,16.39,87.19,17
2009.7,458154,14.59,86.69,14.14,19.1,87.99,18.69
2009.7,459223,17.65,87.76,15.65,22.22,89.3,20.21
2009.7,460158,17.7,88.45,16.84,22.27,89.97,21.4
2009.8,461292,17.44,87.66,17.66,22.01,89.29,22.22
2009.8,460242,18.47,87.01,18.12,23.01,88.52,22.69
2009.8,462022,19.67,88.37,18.2,24.25,89.99,22.79
2009.8,465209,20.06,91.17,17.88,24.65,92.58,22.47
2009.9,469884,15.64,88.86,17.18,20.26,89.97,21.79
2009.9,472514,17.67,90.26,16.21,22.3,91.5,20.83
2009.9,472804,15.63,89.48,15.1,20.23,90.52,19.73
2010.0,480214,11.45,87.64,13.93,16.12,88.55,18.58
2010.0,482129,15.09,89.16,12.73,19.74,90.13,17.39
2010.0,483391,11.23,88.55,11.51,15.91,89.14,16.19
2010.0,478403,10.38,87.33,10.4,15.07,87.58,15.08
2010.1,480770,8.2,86,9.64,12.89,86.14,14.33
2010.1,479711,5.19,86.04,9.42,9.87,85.99,14.13
2010.1,479643,9.25,87.92,9.68,13.97,87.93,14.4
2010.1,481123,12.89,88.65,10,17.63,88.78,14.74
2010.2,478419,14.6,90.5,9.96,19.36,90.69,14.71
2010.2,476611,7.21,87.55,9.5,11.96,87.35,14.27
2010.2,477782,7.54,86.71,8.9,12.32,86.59,13.67
2010.3,478256,7.19,87.79,8.45,11.98,87.67,13.24
2010.3,479481,8.92,86.17,8.27,13.73,85.99,13.07
2010.3,477940,8.77,85.05,8.3,13.55,84.76,13.1
2010.3,478844,7.32,85.12,8.47,12.14,84.89,13.28
2010.4,477225,7.53,85.4,8.78,12.37,85.41,13.6
2010.4,478057,10.66,85.22,9.18,15.48,85.34,13.99
2010.4,476474,9.61,83.76,9.54,14.42,83.98,14.35
2010.4,477803,9.8,86.01,9.79,14.59,86.51,14.6
2010.5,476176,10.67,85.65,9.91,15.49,86.13,14.71
2010.5,468484,10.14,84.42,9.92,14.95,84.91,14.72
2010.5,467926,8.78,83.6,9.9,13.57,84.29,14.7
2010.5,469097,10.38,82.87,9.9,15.16,83.6,14.69
2010.6,458536,10.36,83.26,9.94,15.15,84,14.74
2010.6,458901,8.9,86.16,10.06,13.7,87.31,14.86
2010.6,459743,11.04,86.86,10.31,15.84,88.09,15.11
2010.7,464192,8.7,87.89,10.72,13.53,89.15,15.53
2010.7,459393,11.73,89.54,11.29,16.54,90.88,16.1
2010.7,458324,12.74,90.88,11.93,17.53,92.39,16.75
2010.7,462648,12.45,90.39,12.55,17.31,91.65,17.38
2010.8,460581,11.95,92.52,13.06,16.76,93.65,17.89
2010.8,459965,15.68,92.75,13.3,20.54,94.09,18.14
2010.8,462458,14.68,92.79,13.12,19.54,93.86,17.98
2010.8,463516,12.95,92.88,12.48,17.78,93.74,17.35
2010.9,467909,12.75,89.99,11.48,17.65,91.02,16.36
2010.9,471418,8.63,90.85,10.35,13.53,91.49,15.25
2010.9,475174,8.75,90.95,9.32,13.67,91.34,14.24
2011.0,474991,7.62,89.7,8.48,12.59,89.86,13.41
2011.0,477691,9.18,92.02,7.77,14.09,92.15,12.71
2011.0,481606,6.53,92.2,7.11,11.5,92.2,12.06
2011.0,481574,6.19,94.3,6.48,11.15,94.34,11.42
2011.1,481744,6.1,93.24,5.88,11.07,92.95,10.83
2011.1,482071,4.95,92,5.34,9.89,91.63,10.3
2011.1,476121,4.48,91.88,4.85,9.33,91.49,9.82
2011.1,479307,4.86,92.16,4.37,9.87,91.87,9.35
2011.2,478761,4.21,93.03,3.84,9.27,92.8,8.84
2011.2,480075,4.33,92.92,3.31,9.35,92.46,8.33
2011.2,478205,-0.29,93.86,2.87,4.75,93.13,7.91
2011.3,476367,3.09,93.23,2.6,8.15,92.67,7.65
2011.3,477653,3.56,93.29,2.48,8.6,92.82,7.54
2011.3,478871,2.32,92.85,2.53,7.39,92.4,7.6
2011.3,479826,-0.27,90.01,2.78,4.81,89.59,7.86
2011.4,479939,4.22,88.28,3.27,9.31,87.99,8.35
2011.4,481483,4.76,86.06,3.94,9.85,85.92,9.03
2011.4,480212,2.97,85.82,4.7,8.07,85.81,9.78
2011.4,475744,5.82,83.86,5.42,10.89,84.07,10.5
2011.5,478663,8.61,83.93,6.02,13.66,84.38,11.1
2011.5,470762,5.87,83.15,6.55,10.97,83.52,11.62
2011.5,473616,5.72,81.63,7.2,10.77,82.03,12.27
2011.6,472450,6.08,82.5,8.2,11.15,83.34,13.28
2011.6,465730,8.61,84.08,9.62,13.69,84.97,14.7
2011.6,459917,12.57,84.91,11.25,17.64,85.94,16.33
2011.6,458528,13.73,87.28,12.79,18.81,88.55,17.87
2011.7,461230,15.82,88.41,14.02,20.92,89.84,19.1
2011.7,463982,15.06,90.42,14.98,20.14,91.86,20.06
2011.7,464295,13.8,89.26,15.81,18.88,90.63,20.9
2011.7,460432,16.52,89.87,16.55,21.64,91.17,21.65
2011.8,418017,19.1,90.38,17.05,24.15,91.91,22.15
2011.8,464839,20.83,91.82,17.09,25.96,93.52,22.2
2011.8,465495,16.16,91.09,16.71,21.23,92.48,21.83
2011.9,470639,13.74,90.37,16.18,18.9,91.61,21.32
2011.9,474877,14.59,87.34,15.77,19.77,88.36,20.93
2011.9,476863,17.44,88.11,15.55,22.64,89.16,20.73
2011.9,476227,14.98,86.14,15.45,20.15,87.3,20.64
2012.0,480483,15.12,86.26,15.42,20.34,87.14,20.62
2012.0,481487,14.29,87.68,15.44,19.49,88.3,20.65
2012.0,480707,16.81,84.36,15.49,22.03,84.97,20.7
2012.0,482556,15.05,83.88,15.49,20.26,84.31,20.71
2012.1,482041,16.7,86,15.36,21.94,86.23,20.59
2012.1,478068,14.4,86.22,15.06,19.61,86.53,20.29
2012.1,478554,15.73,88.02,14.64,20.99,88.11,19.87
2012.2,478860,14.1,88.06,14.18,19.37,88.03,19.42
2012.2,478946,12.13,89.58,13.82,17.34,89.54,19.06
2012.2,476584,13.25,90.93,13.62,18.46,90.82,18.87
2012.2,474451,14.44,89.42,13.56,19.71,89.37,18.83
2012.3,473592,13.1,90.11,13.56,18.4,90.09,18.85
2012.3,475051,13.61,89.24,13.58,18.93,89.28,18.89
2012.3,476841,13.8,89.73,13.59,19.15,89.85,18.91
2012.3,475528,13.52,89.64,13.6,18.84,89.83,18.93
2012.4,478620,14.05,88.01,13.72,19.39,88.55,19.05
2012.4,385039,12,85.14,14.02,17.34,85.63,19.36
2012.4,478130,13.52,85.56,14.58,18.87,86.11,19.91
2012.5,478272,17.42,85.68,15.37,22.76,86.41,20.71
2012.5,477592,15,84.8,16.37,20.31,85.8,21.7
2012.5,476338,15.53,84.64,17.56,20.89,85.68,22.89
2012.5,467122,19.53,85.46,18.85,24.85,86.83,24.18
2012.6,469483,22.18,86.45,20.05,27.52,87.97,25.38
2012.6,463745,21.5,87.59,21.06,26.78,89.24,26.38
2012.6,463028,22.34,88.56,21.92,27.69,90.48,27.24
2012.6,463417,19.66,89.09,22.84,24.98,91.07,28.18
2012.7,461938,24.87,90.24,23.99,30.22,92.36,29.33
2012.7,461907,24.13,88.59,25.31,29.46,90.66,30.66
2012.7,459753,28.37,89.61,26.57,33.74,91.75,31.93
2012.7,459839,28.6,91.6,27.52,33.99,93.83,32.87
2012.8,463565,29.93,89.9,28,35.27,92.16,33.36
2012.8,463127,28.07,88.91,28.05,33.4,91.04,33.43
2012.8,467626,27.34,88.36,27.83,32.74,90.54,33.22
2012.9,468673,27.96,87.26,27.48,33.35,89.22,32.89
2012.9,472957,27.06,86.27,27.09,32.48,88.07,32.52
2012.9,478004,25.77,84.91,26.68,31.24,86.62,32.12
2012.9,479243,28.34,84.91,26.19,33.84,86.48,31.66
2013.0,478341,24.41,85.52,25.64,29.86,86.77,31.11
2013.0,480556,25.67,85.78,25.04,31.16,86.95,30.53
2013.0,484195,23.94,84.82,24.47,29.44,85.74,29.96
2013.0,480765,23.05,86.71,23.96,28.56,87.5,29.47
2013.1,475029,24.7,86.32,23.52,30.2,87.18,29.04
2013.1,468987,22.95,85.21,23.16,28.49,86.1,28.68
2013.1,478753,21.38,85.99,22.86,26.91,86.35,28.4
2013.2,480658,22.99,88.55,22.62,28.53,88.86,28.17
2013.2,476845,23.56,89.62,22.35,29.1,90.03,27.92
2013.2,477810,21.78,90.06,21.96,27.39,90.49,27.55
2013.2,127800,21.8,87.83,21.41,27.32,88.39,27.02
2013.3,319572,21.96,90.7,20.76,27.71,91.03,26.37
2013.3,479245,17.64,88.35,20.07,23.26,88.56,25.69
2013.3,477818,20.09,91.06,19.37,25.71,91.51,25
2013.3,479207,20.22,92.21,18.64,25.79,92.84,24.26
2013.4,479795,17.68,90.72,17.86,23.33,91.17,23.49
2013.4,477877,15.85,89.57,17.17,21.53,89.87,22.79
2013.4,476725,15.83,88.11,16.71,21.46,88.49,22.34
2013.5,475192,15.42,86.16,16.61,21.02,86.84,22.23
2013.5,472195,17.53,84.56,16.87,23.12,85.49,22.49
2013.5,469443,15.66,84.81,17.46,21.29,86.03,23.07
2013.5,466805,17.45,84.38,18.24,23.05,85.72,23.85
2013.6,461351,20.83,86.11,19.06,26.44,87.58,24.68
2013.6,462272,21.74,85.31,19.81,27.37,87.1,25.44
2013.6,460459,17.81,86.09,20.56,23.45,87.82,26.18
2013.6,460966,20.71,86.13,21.44,26.36,88.11,27.06
2013.7,326536,22.31,85.85,22.53,27.83,87.99,28.16
2013.7,232596,24.26,87.78,23.75,29.97,89.87,29.38
2013.7,457947,25.46,89.99,24.94,31.1,91.96,30.58
2013.8,458345,26.45,91.65,25.98,32.1,93.77,31.62
2013.8,462750,26.5,90.78,26.8,32.14,93.05,32.44
2013.8,462180,28.78,89.77,27.3,34.39,92.01,32.95
2013.8,463747,28.86,90.74,27.41,34.5,93.16,33.07
2013.9,465668,27.4,88.02,27.06,33.07,90.17,32.74
2013.9,469982,27.36,87.47,26.32,33.07,89.53,32.02
2013.9,473676,26.59,87.55,25.36,32.34,89.49,31.07
2013.9,476189,21.36,85.76,24.41,27.07,87.48,30.13
2014.0,476406,23.09,86.97,23.67,28.8,88.48,29.39
2014.0,478664,24.15,86.05,23.17,29.83,87.31,28.9
2014.0,483061,22.15,85.52,22.88,27.9,86.62,28.61
2014.1,482798,22.75,85.88,22.77,28.54,86.94,28.51
2014.1,479559,21.48,87.41,22.85,27.2,88.29,28.6
2014.1,482233,22.35,87.68,23.11,28.12,88.48,28.87
2014.1,482671,24.91,88.3,23.41,30.68,89.04,29.17
2014.2,431256,24.51,90.21,23.57,30.23,90.91,29.33
2014.2,477867,23.59,89.24,23.48,29.36,89.87,29.25
2014.2,479499,23.17,89.66,23.1,28.98,90.29,28.9
2014.2,478865,23.77,88.79,22.45,29.54,89.57,28.27
2014.3,479944,22.11,87.09,21.58,27.97,87.75,27.42
2014.3,476251,20.52,86.6,20.59,26.38,87.33,26.45
2014.3,420393,18.32,87.45,19.68,24.26,88.47,25.55
2014.4,478769,18.46,86.6,19.02,24.31,87.6,24.91
2014.4,479187,17.51,87.22,18.72,23.42,88.04,24.62
2014.4,478023,18.85,86.06,18.82,24.77,87.01,24.71
2014.4,477754,18.06,85.82,19.31,23.94,86.75,25.2
2014.5,470895,18.96,83.64,20.16,24.86,85.08,26.05
2014.5,468899,20.97,83.72,21.29,26.87,85.46,27.17
2014.5,468868,23.58,83.48,22.54,29.46,85.45,28.41
2014.5,465127,24.65,84.05,23.79,30.5,85.92,29.66
2014.6,459180,22.99,85.54,25,28.86,87.57,30.87
2014.6,456455,27.2,87.02,26.18,33.01,89.37,32.04
2014.6,458427,27.89,87.79,27.26,33.77,90.41,33.13
2014.6,456821,28.7,88.9,28.21,34.6,91.63,34.09
2014.7,455203,28.94,90.28,29.04,34.82,93.11,34.92
2014.7,455496,30.31,92.75,29.84,36.21,95.59,35.73
2014.7,457462,28.58,91.69,30.67,34.48,94.47,36.57
2014.8,459238,31.46,91.6,31.44,37.35,94.33,37.35
2014.8,461799,35.62,93.58,31.91,41.51,96.44,37.83
2014.8,461771,33.98,92.17,31.86,39.94,95.04,37.79
2014.8,465705,30.52,92.72,31.37,36.48,95.35,37.33
2014.9,468775,30.52,93.12,30.81,36.46,95.68,36.78
2014.9,474992,27.14,90.87,30.48,33.15,93.27,36.47
2014.9,479333,28.74,88.91,30.43,34.76,91.51,36.44
2014.9,430588,36.08,91.73,30.39,42.03,94.08,36.4
2015.0,400953,31.34,90.27,30.11,37.46,92.35,36.14
2015.0,480615,26.1,88.92,29.71,32.17,90.57,35.75
2015.0,480256,28.64,90.52,29.49,34.61,92.21,35.53
2015.1,477225,28.65,88.82,29.65,34.68,90.45,35.68
2015.1,483777,30.55,91.44,30.11,36.6,93.14,36.14
2015.1,483733,30.25,92.57,30.62,36.29,93.99,36.65
2015.1,479571,33.58,93.36,30.94,39.57,95.1,36.96
2015.2,475346,31.58,91.41,30.97,37.58,93.02,37.01
2015.2,478192,29.65,93.31,30.82,35.66,94.79,36.87
2015.2,471586,29.92,94.59,30.61,36.05,96.05,36.69
2015.2,480463,31.18,94.76,30.43,37.28,96.23,36.53
2015.3,480858,30.19,95.04,30.2,36.32,96.36,36.32
2015.3,478175,30.78,95.22,29.84,36.87,96.68,35.98
2015.3,473249,30.35,93.7,29.41,36.55,95.24,35.56
2015.4,479450,27.41,93.85,29.11,33.62,95.48,35.27
2015.4,478025,26.19,94.21,29.19,32.33,95.83,35.35
2015.4,475422,29.73,95.36,29.75,35.88,97,35.91
2015.4,477649,30.58,95.99,30.7,36.74,97.54,36.85
2015.5,469790,32.13,95.48,31.83,38.25,97.49,37.98
2015.5,469412,33.52,96.92,32.99,39.67,99.28,39.14
2015.5,468089,33.25,97.78,34.13,39.43,100.3,40.29
2015.5,461755,35.78,97.56,35.27,41.94,100.25,41.44
2015.6,462545,36.43,101.76,36.47,42.61,104.49,42.65
2015.6,463893,37.58,103.78,37.8,43.79,106.85,43.98
2015.6,460938,36.53,103.94,39.26,42.7,106.89,45.44
2015.7,454170,43.2,106.19,40.76,49.4,109.5,46.95
2015.7,459534,43.35,109.83,42.16,49.53,113.1,48.35
2015.7,463665,42.93,107.54,43.35,49.12,110.75,49.54
2015.7,460182,44.27,109.91,44.32,50.47,113.13,50.52
2015.8,458036,45.57,113.82,45.05,51.75,117.12,51.25
2015.8,461886,46.47,114.25,45.42,52.68,117.46,51.63
2015.8,456934,48.42,115.32,45.34,54.61,118.57,51.56
2015.8,466593,44.61,113.94,44.82,50.87,116.93,51.05
2015.9,462852,41.85,112.08,43.99,48.06,115.02,50.23
2015.9,474976,45.3,112.71,42.96,51.58,115.54,49.21
2015.9,476638,42.9,111.07,41.76,49.15,113.87,48.03
2016.0,477871,39.71,108,40.55,46,110.36,46.82
2016.0,480681,38.14,107.22,39.58,44.41,109.52,45.86
2016.0,478886,35.56,104.74,39.06,41.83,106.8,45.35
2016.0,476925,39.4,106.99,38.98,45.74,109.05,45.28
2016.1,480386,41.9,106.35,39.12,48.24,108.39,45.42
2016.1,476861,37.47,103.46,39.24,43.71,105.48,45.56
2016.1,481425,40.01,101.54,39.28,46.33,103.56,45.6
2016.1,479171,39.23,101.66,39.24,45.58,103.75,45.58
2016.2,477248,39.39,102.8,39.13,45.79,104.73,45.49
2016.2,477533,37.82,102.98,38.9,44.18,104.52,45.27
2016.2,455818,41.53,103.03,38.42,47.88,104.65,44.79
2016.3,477397,37.81,102.11,37.59,44.16,103.6,43.98
2016.3,477114,37.16,101.07,36.48,43.59,102.73,42.89
2016.3,478169,34.32,98.47,35.3,40.78,100.28,41.73
2016.3,474459,33.45,98.17,34.34,39.92,99.98,40.79
2016.4,478722,31.97,97.46,33.86,38.44,99.25,40.32
2016.4,478612,31.72,97.47,33.91,38.2,99.36,40.38
2016.4,476509,35.32,98.8,34.35,41.73,100.5,40.82
2016.4,469658,35.33,97.6,34.9,41.83,99.57,41.37
2016.5,473193,36.79,97.27,35.27,43.31,99.59,41.75
2016.5,474528,35.73,96.77,35.37,42.18,99.16,41.84
2016.5,470473,35.12,94.34,35.25,41.59,96.9,41.72
2016.5,466985,35.46,93.28,35.09,41.92,96.22,41.56
2016.6,468475,33.8,93.53,35.15,40.27,96.33,41.61
2016.6,467588,33.79,93.55,35.64,40.27,96.44,42.11
2016.6,462088,34,94.48,36.64,40.45,97.32,43.11
2016.7,457989,39.34,95.93,37.91,45.82,99.32,44.38
2016.7,464620,41.43,95.96,39.08,47.9,99.4,45.55
2016.7,464740,41.84,95.05,39.93,48.31,98.62,46.41
2016.7,466099,39.32,95.13,40.53,45.78,98.67,47.01
2016.8,465051,38.7,96.3,41.13,45.19,99.69,47.62
2016.8,469591,42.33,97.09,41.88,48.8,100.58,48.38
2016.8,467317,43.62,95.91,42.69,50.16,99.6,49.21
2016.8,469138,43.68,96.83,43.31,50.19,100.23,49.84
2016.9,472052,44.86,95.63,43.46,51.43,98.8,50.01
2016.9,478495,46.29,95.08,43,52.9,98.17,49.56
2016.9,412712,42.17,91.38,41.98,48.75,94.21,48.53
2017.0,480846,39.61,90.04,40.6,46.09,92.86,47.16
2017.0,480430,39.14,89.49,39.14,45.67,92.07,45.7
2017.0,485347,36.94,87.24,37.77,43.54,89.6,44.34
2017.0,482567,37.17,88.36,36.55,43.79,90.4,43.14
2017.1,479200,34.8,87.91,35.76,41.36,89.71,42.36
2017.1,479859,33.46,87.36,35.33,40.08,88.98,41.94
2017.1,478434,33.39,90.07,35.12,40.01,91.75,41.74
2017.1,479643,34.51,88.39,35.03,41.16,90.14,41.65
2017.2,483270,34.47,90.15,35,41.14,91.61,41.62
